product_name,slug,description,short_description,brand,category,sub_category,sub_sub_category,price,sale_price,stock,sku,color,size,weight,image_1,image_2,image_3,image_4
"Premium Alcantara Phone Case","premium-alcantara-phone-case","Luxurious phone case made from genuine Alcantara material with premium protection and elegant feel","Premium Alcantara phone protection case","Alcantara Premium","Accessories","Phone Accessories","Phone Cases",2999,2499,150,"ALC-PHONE-001-BLK","Black","Universal",50,"https://example.com/alcantara-phone-case-1.jpg","https://example.com/alcantara-phone-case-2.jpg","https://example.com/alcantara-phone-case-3.jpg","https://example.com/alcantara-phone-case-4.jpg"
"Alcantara Laptop Sleeve 15"","alcantara-laptop-sleeve-15","Professional laptop sleeve designed for 15-inch laptops, featuring premium Alcantara exterior with soft interior lining","15" Alcantara laptop protection sleeve","Alcantara Pro","Accessories","Computer Accessories","Laptop Bags",4999,3999,75,"ALC-LAP-015-NAV","Navy","15 inch",300,"https://example.com/laptop-sleeve-1.jpg","https://example.com/laptop-sleeve-2.jpg","https://example.com/laptop-sleeve-3.jpg","https://example.com/laptop-sleeve-4.jpg"
"Alcantara Car Seat Covers Set","alcantara-car-seat-covers-set","Complete set of luxury car seat covers made from premium Alcantara material, fits most standard car models","Premium Alcantara car seat covers set","AutoAlcantara","Automotive","Car Interior","Seat Covers",15999,12999,25,"ALC-CAR-001-RED","Red","Standard",2000,"https://example.com/car-seat-covers-1.jpg","https://example.com/car-seat-covers-2.jpg","https://example.com/car-seat-covers-3.jpg","https://example.com/car-seat-covers-4.jpg"
"Alcantara Watch Strap","alcantara-watch-strap","Elegant watch strap crafted from genuine Alcantara, compatible with most luxury watch brands","Premium Alcantara watch strap","Alcantara Time","Accessories","Watches","Watch Straps",3999,3499,200,"ALC-WATCH-001-BRN","Brown","22mm",20,"https://example.com/watch-strap-1.jpg","https://example.com/watch-strap-2.jpg","https://example.com/watch-strap-3.jpg","https://example.com/watch-strap-4.jpg"
"Alcantara Gaming Mouse Pad","alcantara-gaming-mouse-pad","Professional gaming mouse pad with Alcantara surface for optimal mouse tracking and comfort","Gaming mouse pad with Alcantara surface","Alcantara Gaming","Electronics","Gaming","Mouse Pads",1999,1499,100,"ALC-GAME-001-BLK","Black","Large",150,"https://example.com/mouse-pad-1.jpg","https://example.com/mouse-pad-2.jpg","https://example.com/mouse-pad-3.jpg","https://example.com/mouse-pad-4.jpg"
"Alcantara Journal Notebook","alcantara-journal-notebook","Luxury journal notebook with Alcantara cover and premium paper, perfect for professionals","Premium Alcantara covered journal","Alcantara Stationery","Stationery","Notebooks","Journals",2499,1999,80,"ALC-JOURNAL-001-TAN","Tan","A5",400,"https://example.com/journal-1.jpg","https://example.com/journal-2.jpg","https://example.com/journal-3.jpg","https://example.com/journal-4.jpg"
"Alcantara Yoga Mat","alcantara-yoga-mat","Premium yoga mat with Alcantara surface for superior grip and comfort during practice","Luxury Alcantara yoga mat","Alcantara Fitness","Sports","Yoga","Yoga Mats",6999,5499,60,"ALC-YOGA-001-GRY","Grey","183cm x 61cm",1200,"https://example.com/yoga-mat-1.jpg","https://example.com/yoga-mat-2.jpg","https://example.com/yoga-mat-3.jpg","https://example.com/yoga-mat-4.jpg"
"Alcantara Travel Pillow","alcantara-travel-pillow","Ergonomic travel pillow with Alcantara cover for maximum comfort during long journeys","Luxury travel pillow with Alcantara cover","Alcantara Travel","Travel","Travel Accessories","Pillows",3499,2799,120,"ALC-TRAVEL-001-NAV","Navy","Standard",300,"https://example.com/travel-pillow-1.jpg","https://example.com/travel-pillow-2.jpg","https://example.com/travel-pillow-3.jpg","https://example.com/travel-pillow-4.jpg"
"Alcantara Desk Organizer","alcantara-desk-organizer","Elegant desk organizer with Alcantara finish, perfect for modern office setups","Premium Alcantara desk organizer","Alcantara Office","Home & Living","Office","Desk Accessories",4499,3499,90,"ALC-DESK-001-BLK","Black","30cm x 20cm",800,"https://example.com/desk-organizer-1.jpg","https://example.com/desk-organizer-2.jpg","https://example.com/desk-organizer-3.jpg","https://example.com/desk-organizer-4.jpg"
"Alcantara Pet Bed","alcantara-pet-bed","Luxury pet bed with Alcantara sleeping surface, providing ultimate comfort for your pets","Premium Alcantara pet bed","Alcantara Pets","Pet Supplies","Dog Supplies","Beds",8999,6999,40,"ALC-PET-001-GRY","Grey","Large",1500,"https://example.com/pet-bed-1.jpg","https://example.com/pet-bed-2.jpg","https://example.com/pet-bed-3.jpg","https://example.com/pet-bed-4.jpg"
